naam,type,belangrijkste_voedingsstof
Basilicum,kruid,vitamine K
Bieslook,kruid,vitamine A
Bladselderij,kruid,vitamine K
Bonenkruid,kruid,antioxidanten
Citroenmelisse,kruid,antioxidanten
Citroengras,kruid,vitamine C
Citroenverbena,kruid,antioxidanten
Dille,kruid,calcium
Dragon,kruid,ijzer
Dragon Frans,kruid,antioxidanten
Dragon Russisch,kruid,vitamine A
Erwtenspruiten,kruid,vitamine C
Erwtenranken,kruid,vitamine K
Gember,wortel,gingerol
Galangal wortel,wortel,antioxidanten
Knoflook,kruid,allicine
Koriander vers,kruid,vitamine K
Koriander zaad,specerij,mangaan
Kervel,kruid,vitamine C
Kurkuma,wortel,curcumine
Laurier,kruid,vitamine A
Lavendel,kruid,antioxidanten
Lemongras,kruid,vitamine A
Liefstokwortel,kruid,kalium
Maggikruid,kruid,vitamine C
Majoraan,kruid,vitamine K
Munt pepermunt,kruid,menthol
Munt kruizemunt,kruid,vitamine A
Munt appelmunt,kruid,vitamine C
Oregano,kruid,antioxidanten
Peterselie plat,kruid,vitamine K
Peterselie gekruld,kruid,vitamine C
Peper zwart,specerij,piperine
Peper wit,specerij,antioxidanten
Peper roze,specerij,vitamine C
Peper groen,specerij,vitamine K
Peper lang,specerij,piperine
Radhuni,specerij,vezels
Rozemarijn,kruid,ijzer
Salie,kruid,vitamine K
Saffra an,specerij,antioxidanten
Selderij zaad,specerij,calcium
Steranijs,specerij,vitamine C
Sumak,specerij,antioxidanten
Tijm,kruid,vitamine C
Tijm citroen,kruid,vitamine C
Tijm wilde,kruid,antioxidanten
Venkel zaad,specerij,vezels
Wasabi,wortel,isothiocyanaten
IJzerhard,kruid,vitamine C
Zevenblad,kruid,antioxidanten
Komijn,specerij,ijzer
Kardemom,specerij,mangaan
Kaneel,specerij,antioxidanten
Kruidnagel,specerij,mangaan
Nootmuskaat,specerij,magnesium
Foelie,specerij,antioxidanten
Paprikapoeder,specerij,vitamine A
Cayennepeper,specerij,capsaïcine
Chilipoeder,specerij,vitamine A
Karwijzaad,specerij,vezels
Anijszaad,specerij,ijzer
Mosterdzaad,specerij,selenium
Sesamzaad,specerij,calcium
Maanzaad,specerij,calcium
Lijnzaad,specerij,omega-3
Zonnebloempitten,specerij,vitamine E
Pompoenpitten,specerij,magnesium
Vanille,specerij,antioxidanten
Bergamotbladeren,kruid,vitamine C
Curryblad,kruid,ijzer
Pandanblad,kruid,antioxidanten
Kaffir limoen blad,kruid,vitamine C
Shiso,kruid,omega-3
Perilla,kruid,antioxidanten
Vietnamese koriander,kruid,vitamine K
Thai basilicum,kruid,vitamine K
Heilig basilicum,kruid,antioxidanten
Citroentijm,kruid,vitamine C
Bernagie,kruid,omega-3
Goudsbloem,kruid,antioxidanten
Venkel bladeren,kruid,vitamine C
Alsem,kruid,absintine
Engelwortel,wortel,vitamine E
Mierikswortel,wortel,vitamine C
Rabarberwortel,wortel,antioxidanten
Ginseng,wortel,ginsenosiden
Ashwagandha,wortel,withanoliden
Koenjit,wortel,curcumine
Lenteajuin,kruid,vitamine K
Look zonder look,kruid,vitamine C
Daslook,kruid,allicine
Wilde knoflook,kruid,vitamine C
Amsoi,kruid,ijzer
Mizuna,kruid,vitamine C
Tatsoi,kruid,calcium
Mustard greens,kruid,vitamine K
Raapstelen Aziatisch,kruid,calcium
